wid,time,text,uid,username,following,followed,gender
4521962326142622,Wed Jul 01 19:34:54 +0800 2020,"<span class=""url-icon""><img alt=[doge] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-861403219c.png"" 
                style=""width:1em; height:1em;"" /></span>//<a href='/n/腾讯公司'>@腾讯公司</a>:其实，但是，一言难尽……为了防止类似事件再次发生，欢迎广大网友踊跃提供类似线索，通过评论或私信留言。我们自掏腰包，准备好一千瓶老干妈作为奖励，里面还包含限量版的孤品哦！<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E8%85%BE%E8%AE%AF%E5%8D%83%E7%93%B6%E8%80%81%E5%B9%B2%E5%A6%88%E6%B1%82%E9%AA%97%E5%AD%90%E7%BA%BF%E7%B4%A2%23&extparam=%23%E8%85%BE%E8%AE%AF%E5%8D%83%E7%93%B6%E8%80%81%E5%B9%B2%E5%A6%88%E6%B1%82%E9%AA%97%E5%AD%90%E7%BA%BF%E7%B4%A2%23"" data-hide=""""><span class=""surl-text"">#腾讯千瓶老干妈求骗子线索#</span></a>",2274567792,深圳商报,741,8514632,m
4521946186015155,Wed Jul 01 18:30:46 +0800 2020,"如果老干妈不知道广告的事那这个联名款的商标是谁印的？代工厂吗<span class=""url-icon""><img alt=[思考] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_sikao-c599fd085f.png"" 
                style=""width:1em; height:1em;"" /></span>",5103127477,手发凉,883,797,f
4521956047673740,Wed Jul 01 19:09:57 +0800 2020,我家公司在2018年6月份被青岛市市南区中国移动公司被公司内大客户经济拿3个假章骗了4000万，维权，打官司，找律师，上访～反正后来的日子暗无天日……,5105242282,Leon南波萬,495,267,m
4521974048861249,Wed Jul 01 20:21:29 +0800 2020,控制不住笑出声,2293436683,一条与世无争的小锦鲤,595,91,f
4521993057504246,Wed Jul 01 21:37:01 +0800 2020,"<span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-9aa3c436a4.png"" 
                style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-9aa3c436a4.png"" 
                style=""width:1em; height:1em;"" /></span>为你拉一曲伴奏//<a href='/n/腾讯公司'>@腾讯公司</a>:其实，但是，一言难尽……为了防止类似事件再次发生，欢迎广大网友踊跃提供类似线索，通过评论或私信留言。我们自掏腰包，准备好一千瓶老干妈作为奖励，里面还包含限量版的孤品哦！<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E8%85%BE%E8%AE%AF%E5%8D%83%E7%93%B6%E8%80%81%E5%B9%B2%E5%A6%88%E6%B1%82%E9%AA%97%E5%AD%90%E7%BA%BF%E7%B4%A2%23&extparam=%23%E8%85%BE%E8%AE%AF%E5%8D%83%E7%93%B6%E8%80%81%E5%B9%B2%E5%A6%88%E6%B1%82%E9%AA%97%E5%AD%90%E7%BA%BF%E7%B4%A2%23"" data-hide=""""><span class=""surl-text"">#腾讯千瓶老干妈求骗子线索#</span></a>",6933870699,腾讯艺术,351,17163,f
4521974853805233,Wed Jul 01 20:24:42 +0800 2020,"不哭，我请你吃饭<span class=""url-icon""><img alt=[doge] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-861403219c.png"" 
                style=""width:1em; height:1em;"" /></span>特别香",3065072935,大米先生rice,98,26376,m
4521938008361100,Wed Jul 01 17:58:17 +0800 2020,"鹅今天被群嘲了<span class=""url-icon""><img alt=[悲伤] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_beishang-f8d6de06c8.png"" 
                style=""width:1em; height:1em;"" /></span>心疼你<span class=""url-icon""><img alt=[偷笑] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_touxiao-15afb1c739.png"" 
                style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[偷笑] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_touxiao-15afb1c739.png"" 
                style=""width:1em; height:1em;"" /></span>",5687904021,温柔掌控者的夏夏,206,76,f
4521964188182226,Wed Jul 01 19:42:19 +0800 2020,我希望老干妈的瓶子上印个企鹅，这样我就能吃饭的时候嘴角上扬了，给哈哈哈哈哈,5382067637,云中风铃Angell,816,163,m
4521947159174603,Wed Jul 01 18:34:39 +0800 2020,"鹅 是不是懵逼了<span class=""url-icon""><img alt=[doge] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-861403219c.png"" 
                style=""width:1em; height:1em;"" /></span>",6073802030,风期限在凌晨,930,2018727,m
4521974112384484,Wed Jul 01 20:21:45 +0800 2020,"一言难尽，就让我们一起搞反诈骗吧<span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-9aa3c436a4.png"" 
                style=""width:1em; height:1em;"" /></span>",7440481295,反诈骗志愿者,822,33346,f
